xikin nan pvtaq ,abacus
dumpa ,fawn
pex ,fax
hemp maadwb nyinam ,faze
bos ,fear
bos jaqnam ,fearful
nyila dvb nyinam ,feasible
durum dvnam ,feast
dvmin-twwmin ,feast
doogw durum ,feast of booth
doogw durum ,feast of shelter
jurpiq durum ,feast of weeks
niqtuq nyilin dvb nyis nyixaqnam ,feat
vm ,feather
hvvtw poot pagoq ,feature
lwmy pool ,February
eexanam ,feces
hoonum ,fed
sorkar ura dvpar gob nyil doonam ,federal
soor ,fee
kor ,fee
laanyi maanam ,feeble
hoonam ,feed
birwqnam ,feedback
bilwqnam ,feedback
hengpa ,feel
mwwpa ,feel
gabg ,feet
lvpia ,feet
ajin ,fellow
dookum ,fellowship
nyi mengkar bo ,felon
hengpanum ,felt
nyem ,female
nyem hvb nyinam ,feminine
nyemv nyega hvb aiyinb mwwnam ,feminism
nyem nyegangam aiyin mwwnbo ,feminist
sulu ,fence
pvvgin ,fend
tuugin ,fend
mvlin ,fenerate
nyiaqnam ,ferment
nyiaqmnam ,fermentation n 
kor jaqnam ,ferocious
meegaqnam ,ferret
swp ,ferry
diix dea ,fertile
dea yvqlwqnam ,fertilizer
mwwnam mam kaakinam ,fervent
vcjaqb mwwnam ,fervor
al yaya kumanam ,fester
xilo soonam ,festival
vcjaqb xilo sood mood ,festive
pagoq gab xilo soominam ,festivity
ko ywrabnam ,fetal
wlayil bvanam ,fetch
paql soominam ,fete
dvrab swrdorxeq ator doogbo ,fetish
pvtwq tumnam mam tag kvrlwqnam ,fetter
hvb nyib nyiloq ,fettle
ko ywrabnam ,fetus
haqyaq minsnam ,feud
yolu bemin sunam ,feud
vcjaqb og hwrnam ,fever
anyo ko ,few
nyolwb begaqnam ,fiance
nyixwb begaqnam ,fiancee
anyo ko vm mvvnam ,fib
aso amo ,fiber
hvvtin maan ,fickle
hingw dvb nyima bo ,fickle
mwwsamnam gon ,fiction
mwum dvb nyimanam ,fidelity
mwwjwnam ,fidelity
tvmdwrnam ,fidget
mvlonam nyook ,field
rongo ,field
sook deela ,field
kwr korbo nyi ,fiend
ui ,fiend
hang lingtwr twryanam ,fierce
wm hvb bioqn bo ,fiery
soomin dvminam ,fiesta
camleq ang ,fifteen
ang ,fifth
camng ,fifty
taoq svvn ,fig
tokuq svvn ,fig
mvmin sunam ,fight
pamin sunam ,fight
nyob paky bo ,fighter
jvqtw maanam ,figment
dooyw doocnam ,figurative
mwwyw mvcnam ,figure
tan hvb nyinbo ,filament
pota jobkum ko ,file
yvqlwqnam ,fill
dvdeq-twwdeq,filled with
aiyaq aro vdin ,fillet
nyuqmoor nootu nan ,film
jooxub nan ,filter
kacbo dvrab ,filth
ngui nyebio ,fin
nyitwr nyinya ,final
twngk pagoq ,finance
twngk pagoq ,financial
twngk jiyabo ,financier
kaapanam ,find
alnam ,fine
xoonam,fine
xootwr paqnam ,fine
jibw vj ,fine linen
kaangam dvb vj koonam ,finery
vcjaqb vs axaqkam hengab nyil wgnam ,finesse
lvqcw ,finger
lvqsin ,fingernail
laqlam ,fingerprint
lvqcw niqtuq ,fingertip
hog ak hemp maanam ,finicky
nyiyumnam ,finish
laanyi maanam ,finite
nyila maanam ,finite
wm ,fire
wm injin ,fire engine
wm toomiqbo ,fire extinguisher
wm nyob panbo ,fire fighter
wm Nam ,fire house
wm nyob panbo nyi ,fire men
wm park ,fire place
wm gunyi maanam ,fire proof
wm mvnam ,fire work
mubuq ,firearm
bom ,firebomb
wm bom buqnbo ,firecracker
wm hoqgv keleqnam ,fireescape
ubcw ,firefly
wm bvywr ,fireside
wm noosu ,firestation
wm mvlin ko ,firestation
wsw ,firewood
sipai mubuq abnam ,firing squad
hvvtinam ,firm
otuq ,first
otuqb dvrab jinam ,first aid
mwlwngam al yaan ,first class
otuq jaqb ,first hand
USA rad abwg nyem ,first lady
al jaqnam ,first rate
otuq jaqb ,firstly
twngk hoqg bvrwq ,fiscal
ngui ,fish
ngui puswq ,fish scale
vkar paqnam ,fishing
piissuq suqnam ,fishing
vkar ,fishing hook
ngui nyebio ,fishtail
buqpiqnam ,fission
rubrub jaqb gvbwnam ,fist
anyo kog mvkonam ,fisure
jubtaq ,fit
kvtaq ,fit
jubtaqnam ,fitful
jot kvlnam ,fitting
ang ,five
kabtaq ,fix
kaqtin ,fix
mucup ,fix
nyid sanam mam mvpnam ,fixture
gur gur yal odynam ,fizz
horo ,flabby
hwwngkw maanam ,flabby
nyinyiaq tvl hwngkw maanam ,flaccid
jet vj ,flag
jet toory ,flag
kvvbwnam ,flagrant
cin ywrtaqnam ,flair
bocarbo huku ,flake
aljaqnam ,flamboyant
haakam ,flamboyant
wm moi ,flame
wm guggab gabga bo ,flammable
bviywr ,flank
svcaq ,flannel
biqyi biqcabo ,flap
haqma paqb buqnam ,flare
kwbw kobio bioqnam ,flash
bioqkurnam ,flash back
nyuqmoor huuto tuly nan ,flash bulb
mur ,flash light
kooj toj dvb nyinam ,flashy
hvjab ,flask
yooxaq ,flask
haapa am ,flat
biyuq bemaq ,flatter
vcjaqb kaakin ,flaunt
tiinam ,flavor
alman jaryaqnam ,flaw
tapeq piqr ,flea
vcir ko cenam ,fleck
nyi cengka maatanam ,fledgling
kenam ,flee
vm mvvl twngk naanam ,fleece
nyebia jaqb nyinam ,fleet
ayaq ,flesh
ox jaqnam ,fleshy
hungkunam ,flex
twrku twrla dvb nyinbo ,flexible
huuto nyebia jaqb bioqnam ,flick
wm bioqyi-bioqcanam ,flicker
jaala bo ,flier
kenam ,flight
ura jaaj jaanam ,flight
hwwkw maanam ,flighty
ator maanam ,flimsy
xut maanam ,flimsy
bosil wkurnam ,flinch
vcjaqb hurpaq huryaqnam ,fling
nyebia jaqb likug lexeqnam ,flippant
meeteq miayeqnam ,flirt
hvrab jaqb jarnam ,flit
ao jaakarnam ,float
sviya pvtw ,flock
jwwnam ,flog
diidwr iss ,flood
diidwr iss toolin ko toggoq ,flood gate
nam haty ,floor
niqtuq lengmanam ,flop
svvn tery nwswn nwwmw ,flora
opu mvnbo ,floral
vcjaqb guj mvnam ,florid
lwwcw ,florid
opu puqn bo nyi ,florist
ex mvxaq nan tan ,floss
cwqnyi maab hang lengnam ,flounce
Hang legnl vs axab nyinam ,flounder
riqmwqnam wtw ,flour
aljaqb nyinam ,flourish
issho jaanam ,flow
opu ,flower
opu pwcw ,flower pot
nalvq jaqb opu doonam ,flowery
nyioqn bo dooi vc ,flu
odum akob huukub huuxeqnam ,fluctuate
mwk juulin ko ung ,flue
agam ,fluent
xeqdwb nyingamnam ,fluent
yoql mvnam ,fluff
issib nyinam ,fluid
sulyub nyinam ,fluid
osuqnam ,flunk
huuto ak jixa kunam ,fluorescence adj 
iss jiyanam ,fluoride
buqpur lengnam ,flurry
toxaqnam ,flush
mwwdwr maab nyinam ,fluster
topiu ,flute
piul ,flute
topiu miqn bo ,flutist
piul miqn bo ,flutist
tvmdwrnam ,flutter
jarnam ,fly
svdam ko ,foal
xupiq ,foam
kaagab ,focus
tuugabnam ,focus
tuun mee dvnam ,fodder
nyemaq ,foe
ngary ,fog
haapam ,fog
mucu mviyanam ,foil
luut ura twrkunam ,fold
twrkunam ,fold
svvn ok ,foliage
nyi tulungam ,folk
ab apag nyicw mwcw ,folklore
wmin gvnam ,follow
nyidul doonam ,follow up
paca ,folly
abynam ,fond
abil cengabnam ,fondle
axor cwrt cwrnyio dvb mvn nan ,font
dvnam lu ,food
dukum twwkum ko nyook ,food court
dvnam mam mvnam ,food processor
sorkarwg dvnam mam rvm dvb jinam ,food stamp
paca bo nyi ,fool
dama ,fool
nyiidam ,fool
paca haakamnam ,fool hardy
cwngpw maanam ,fool proof
paca looda ,foolish
all ,foot
lepia ,foot
pota bor ako ho anyo ko xeqnam ,foot note
all dunam bool ,football
guunyi vp ,football
nyody lvggap ,foothill
puutu lvggap ,foothill
lamta bakoq baroqnam ,foothold
hwngkwb daqnam ,footing
lvlam ,footprint
lvpia dwqnam yal ,footstep
all dwqnam yal ,footstep
luxuq ,footwear
samtaq nan ,footwear
hoggab,for
mwwg gab,for him
mwn gab ,for her
meegaqnam ,forage
atv wkurnam ,forbear
atam mvtur sunam ,forbearance
mutumnam ,forbid
oyumnam dvn ,forbidden women
atornam ,force
sapgab nan ,forceps
ee ,forcer 
nwwteqnam ,forcible
kaaga jaq ,fore
otuq cocib ,fore front
vcjaqb alaq jwwnam ,fore hand
svdin alaq ,fore leg
og guconam ,fore warm
otuqb cengco bo ,forebear
kokwngam almadynam mam ceng bo ,forebodding
haady boam cengconam ,forecast
mutum kunam ,foreclose
nookur nam ,foreclose
ab apa ,forefather
ciqgab nan lvqcw ,forefinger
kexaq maab nyiky tayin ,foregone conclusion
otuq jaqb kaagaho doonam ,foreground
tuqt talo ,forehead
nyoodo ,foreign
nyoodo nyi ,foreigner
nyiilungam nyigbo ,foreman
otuq jaqb hvvtw poot ,foremost
nyel hatho nyin nan ,forensic
yomin sudub nyinam ,foreplay
otuqb haaconam ,forerunner
kaapa coonam ,foresee
kokwngam nyidynam mam kaapa coonam ,foreshadow
kokw gab pwr rwonam ,foresight
nyoro ,forest
kokw nyidynam mam mvo coonam ,forestate
beol betam coonam ,foretell
mwo coonam ,forethought
nwrba gob ,forever
kitap ho betam coonam ,foreword
jipaqnam ,forfeit
nyi asaq gam vm mvvl naanam ,forgery
mwwpa maanam ,forget
mwwpa keemanam ,forgetful
apaqnam ,forgive
paqnyi ,forgive
axa kunam ,forgo
sopku ,fork
vp cwkwb mwwdwqnam ,forlorn
ywrabnam ,form
nyicw jaqb nyinam ,formal
hvb nyidwb nyinam ,format
nyirab ,formation
ywra dvb nyinam ,formation
otuqg ak ,former
vs axaq loodanam ,formidable
nyicw jaqb ,formula
aal camleq loopy gob ,fornight
haqpaq ,forsake
ludumnam ,forsake
gurum nwqtumnam ,fort
vcjaqb odynam ,forte
agab ,forth
lvvgwb ,forth
gurum nwqyiqnam ,fortify
dumpo mwwnam la mwwnam nyinam ,fortitude
gurum,fortress
luut nwqtumnam ,fortress
xijiqnam ,fortunate
haqma golo xijiqnam ,fortune
jvrbiq tuunam ,fortune teller
rolug hwwkum ko nyook ,forum
otuq coob ,forward
apaq kunum ,forwent
kol nwrbag alo ,fossil
swwmnam ,foster
nyob panum ,fought
nyixiaqnam ,foul
kaapanum ,found
gwwl ,foundation
swwrw ywrabnam ,foundation
nyico bo nyi ,founder
yoqdwram wm xaal jiqk ,foundry
buqlinbo iss ,fount
buqlinbo iss pobu ,fountain
iss biqlinbo xeqn nan ,fountain pen
vpy ,four
kookwr pupig doonbo gaari ,four wheel
camleq piin ,fourscore
camleq vpy ,fourteen
vpy ,fourth
pvta ,fowl
poroq ,fowl
siyal ,fox
nam baag ,foyer
mub ciggwn ,fraction
dwrngamnam ,fracture
dwrp albo ,fragile
vcwr amarnam ,fragment
suungamnam ,fragrance
suungam albo ,fragrant
yarabnam ,frame
tuyumnam ,frame
yarabnam bon ,frame work
swlum ,frankincense
sungam bo kuty ,frankincense
mwws mwwpeq manbo ,frank
mwwdwqnam ,frantic
vbw bor mwwnam ,fraternal
kaleg hoq nyega ko poory bo himy dookumnam ,fraternity
ajin jenam ,fraternize
bor mengs bo ,fraticide
nyixiaql mwwjwrnam ,fraud
nyiannam ,fray
svdin ,freak
swrdorxeq nyi ,freak
swrso ,free
saqsur ,free
svswqnam ,free
hiyvkam mutum maanam ,free hand
rooto bo ,free space
swrsonam ,freedom
svswqnam ,freedom
atwg bon nyinbo ,freelance
vpwb daqnam ,freestanding
swrso lamta ,freeway
swrsol doonam ,freewheeling
at mwwlwqb ,freewill
tapamb mvnam ,freeze
tapam nyiknam ,freeze over
hvyiq udum ,freezer
tapam nyiknum ,freezing point
dupum dvrab baqnam ,freight
dupum-dvrap baqnbo ,freighter
hang lel nyinam wnam ,frenzy
lwxy ceram ,frequency
lwxiam nyikynam ,frequent
nit ,fresh
nit nyi ,fresh man
dvrwqbo iss ,fresh water
nitib swwnam ,freshen
al mwwp maanam ,fret
jumanam ,friction
racap ,friction
swwrab aal,friday
hvyiq udum ,fridge
ajin ,friend
ajin hvbjaq ,friendly
ajin jenam ,friendship
haqma paqb bosnam ,fright
bos sonam ,frighten
bos dvb nyinam ,frightful
vcjaqb hvyiqnam ,frigid
naayin sudo hvbjaqkam doog maajaqkam alv ,frill
vj gamb ,fringe
twngk vbwl jinam ,fringe benefit
nas ,frisk
pojuq ,frisk
soongamnam ,frisky
anyo anyob mvpaq kunam ,fritter
hvvtw maanam ,frivolous
soominam ,frivolous
wkur ,fro
tvtwq ,frog
iss jaalaqbo ,frogman
soonam ,frolic
hoqgv ,from
otuqb ,front
otuqb juqco bo ,front runner
nam deela ,frontage
nyook vrr suk ,frontier
hvyiqnam ,frost
swkwr cwwnam vc ,frostbite
vcjaqb hvyiqnam ,frosty
xupiq tvyiq ,froth
tuqt tiqxumnam ,frown
loomin gvmanam ,frown on/upon
tapamb nyiknum ,froze
tapamb nyiknum ,frozen
mwciq mwyiq maanam ,frugal
aaxy ,fruit
aaxy vcjaqb xeenam ,fruitful
aaxy xeemanam ,fruitless
mwwxy mwwramnam ,frustrate
hanam ,fry
vm mvvnam ,fudge
wm kuty ,fuel
keleqnam ,fugitive
nyiyumnam ,fulfill
jotnam ,full
bwwrnam ,full
pool hvrbwnam ,full moon
nyiyumnam ,full scale
akam kunam ,full fledged
mood jotnam ,fulltime
mwwcu saqyanam ,fumble
nornam ,fume
soominam ,fun
bon nyinam ,function
bon nyilanam ,functional
twngk pvvnam ,fund
hvvtw poot ,fundamental
lima tab dookum doonam ,funeral
opap ,fungus
tapin puunam ,fungus
dorju ,funnel
mwwnyirnam ,funny
nyinyiaqbo vm ,fur
hang lingtwrnam ,furious
xvvlw cvvrnam ,furnace
jiyanam ,furnish
dootam tvtam nan ,furniture
vcjaqb hempwl buqpurnam ,furor
diibwq bwqrnam ,furrow
aado yayab ,further
vbw atanam ,furthermore
aado jaqb ,furthermost
vcjaqb aadonam ,furthest
kvsnam ,furtive
vcjaqb hang lengnam ,fury
miqnam ,fuse
mwpiqnam ,fuse
mviyo mvconam ,fusion
hvvtw manboam kaonam ,fuss
hvvtw maan boam nyiomanam ,fussy
niqtuq lengmanam ,futile
kokwngam ,future
kuyum mam ,future
horo ,fuzz
herapnam ,fuzz
kaadar maanam ,fuzzy
gvda akwn hoqgv akwnb hemp meegaqnam ,gad
nyimurnam ,gaffe
soomin nyirminam ,gaiety
hemp jaqnam ,gaily
hojar-jwrnam ,gain
paanam ,gain
vijaqg paanam ,gainful
wnam ,gait
xarnam ,gait
soomin nyirminam ,gala
kartaq dibio ,galaxy
vc alwb dooi yinam ,gale
hang mvneq dvb benam ,gall
haakamnam ,gallant
mwlwg dookum ko ,gallery
uppum ,gallon
naleqnam ,galore
haqma paqb nyirabnam ,galvanize
twngk soonam ,gamble
soonam ,game
jak ak ,gang
pvtw ,gang
acam ,gang
kaangam maadwb pwnam ,gangling
nyi mengbo dvpar ,gangster
ucw konbo lamta ,gangway
pagoq ,gap
agam gamkaqnam ,gape
gaari pvvk nam ,garage
kac yoqkum ko ,garbage
mviyo mvconam ,garble
boolu ,garden
lwwpo umxaqnam ,gargle
kooj top twqnam ,garish
opu gvmnam ,garland
diit ,garlic
talap ,garlic
looson ,garlic
labxy ,garlic
vj ,garment
lwwcw kwrwqbo ,garnet
kaangam dvb oj mvnam ,garnish
sipaiyv nyook gol lvkin gob doonam ,garrison
goomin ,garrulous
jamin twql doonam ,garrulous
jabtinam ,garter
dooi ,gas
un panam ,gash
gesket ,gasket
wm guga bo kuty ,gasoline
saqla maanam ,gasp
tvrp vc ,gastric
kepo dwqnam ,gastroenteritis
toggoq ,gate
lvvga ,gateway
hookumnam ,gather
hvnywnam ,gauche
kaangam tvl tiimanam ,gaudy
xika nan ,gauge
bocar nyianyir bo ,gaunt
kaapeq suqyeqbo vj ,gauze
jinum ,gave
anyo konbo jwwdin nan ,gavel
paca hvb agam gamkaqnam ,gawk
kaap maanam ,gawky
nyega orumv nywxw nyol boonam ,gay
doqtul kaanam ,gaze
tuul kaanam ,gaze
pui pota ,gazette
gaari nwwbeq nan ,gear
hemp dvb mwwnam mam goonam ,gee
mwwdwq ,gee
ator nyinyiaq pengko ,gel
vcjaqb buqnbo dvrab ,gelignite
takar wlw ,gem
xinam takar wlw ,gemstone
hoolu ,gender
nyem nyega ,gender
gv ui gumn ,gene
nwd ,genealogy
komsum ,general
mwlw gab ,general
hog mwlwngam puk ,general store
bisum ,generality
komsum ,generality
komsum ,generalization
komsum naannam ,generalize
nyicw hvbjaq ,generally
mvlinam ,generate
hotam ,generation
jeneretor ,generator
mwlwngv nyibamnam ,generic
haareq jaqb jinam ,generous
beggarnam ,genesis
nyirabnam ,genesis
gv ui gumn baqnam ,genetic
ajin ,genial
hemp jaqnam ,genial
vt otum ,genital
mwlwngam cengbin yaanbo ,genius
dvpar mwlwngam twrnam ,genocide
jak ,genre
pvtw ,genre
juhudi manbo nyi dvpar ,gentile
nyum-nyumbo nyi ,gentle
nyum-nyumbo nyega ,gentleman
nyi albo dvpar ,gentry
jvqtwnam ,genuine
swcw nyodongam poorynam pagoq ,geography
swcwngam poorynam ,geology
jiyomitri ,geometry
cicw koonbo topum ,germ
buqburl swwrabnam ,germinate
nyekam xooxam vs-axaqnam mam poorynam ,gerontology
ko gvrabnam ,gestation
ko swwrabnam ,gestation
gv lvgab hemp hvnyirl soonam ,gesticulate
gv hoqg nyinam mvnam ,gesture
nvvrwqnam ,get
niqtuq lengnam ,get ahead
lvgab nyidul doonam ,get along
wgaql yvnam ,get around
keleqnam ,get away
lengto ,get away
hentwr hemanam ,get away with
nyidul doonam ,get by
swwdul doonam ,get by
hentwr hoqgv keleqnam ,get off
nyidul doonam ,get on
wleqto ,get out
lengto ,get out
nyilin kunam ,get over
nyinyanam ,get through
oram hvb nyin bo ,ghastly
anyo dvparv lvkin go doonam ,ghetto
oram ,ghost
vc loodab koibo ,giant
niqtuq doomab goonam ,gibberish
niqtuq doomab xeqnam ,gibberish
benyi beyanam ,gibe
uqlw uj xaanam ,giddy
lvqc ,gift
cin ywrtaqnam ,gifted
nyil mvl kaakinam ,gig
koi loodanam ,gigantic
nyirp nyirmnam ,giggle
hun oj hvb nyinam ,gild
ngui dooi saqn nan ,gill
taky ,ginger
hengap loodanam ,gingerly
lvngso ,giraffe
yoqdwr kwtw ,girder
soruq ,girdle
nyem ko ,girl
nyem ajin ,girlfriend
hwwpongam xikanan ,girth
xootwr jaqb hvvtw poot ,gist
jit ,give
jipaqnam ,give away
jikurnam ,give back
jipaq loodanam ,give in
jilinam ,give out
apaq kunam ,give up
jigwi naagwi naanam ,give and take
jipaq kunum ,given
emin mingnam ,given name
vcjaqb swkwrnam ,glacial
tapam puutu ,glacier
hwnyir-hvmar ,glad
nyora ho samlonam ,glade
kaangamnam ,glamour
kvvyiq kaaxeqnam ,glance
gv vdin ho iss topaq mvdwb doonbo vdin ,gland
kwmwr twqb kaanam ,glare
vcjaqb huunam ,glaring
vrs ,glass
kwlwq kvlaq dvb mvnam ,glaze
wm bioqnam ,gleam
punam ,glean
vcjaqb hempnam ,glee
agam goolaqnam ,glib
hingky jaqb nyil wnam ,glide
bioq bioqcanam ,glimmer
koosumnam ,glimpse
wm bioqnam ,glint
kwlwq kvlaq bioqnam ,glisten
anyo ko nyixiaqnam ,glitch
huupeq huuyeqnam ,glitter
asaqg almab swwnam mam hemp poiya bo ,gloat
nyinyiaq bo dvrab ,glob
gvda gvt ,global
gvdangam kaan nan ,globe
cicwko dilnam ,globule
kan ,gloom
mwwdwqnam ,gloom
kan dvb mvnam ,gloomy
paql yuumnam ,glorify
swrdorxeqb yuunam ,glorious
yuunam ,glory
huuda kalanam ,gloss
agam niqtuqkam xeqp nan ,glossary
loqlup ,glove
huunam ,glow
al mwwpa matwl kaanam ,glower
aaxy ho tiiswr doon bo ,glucose
kaqtin nan ,glue
mwwdwqnam ,glum
naleq baceqnam ,glut
abaq bviyaqnam ,glutinous
dvlam bo ,glutton
dvpiam bo,glutton
nvvlap nan ,glycerol
tuugw baaiyanam ,gnarled
miiswr ,gnat
cengnam ,gnaw
vs-axaqnam ,gnaw
wt ,go
nyitwk hvl gaml jinam ,go ahead
hog mwlwngam jinam ,go all out
loonam ,go along
daaxar xarn bo hvvky ,go between
wpeqnam ,go by
nyika dvb mwwnam ,go for
kwrw jaqb nyil niqtuq lengdwb nyinbo nyi ,go getter
vp cwkwb nyinam ,go it alone
buqpurnam ,go off
nyidul doonam ,go on
nyik maanam ,go out
nyidarnam ,go over
urab yoqlwqnam ,go under
jubtaqnam ,go with
mwwr dvb mvnam ,goad
tuugabnam ,goal
bool nootu bo ,goal keeper
sibin ,goat
nyebia jaqb dvnam ,gobble
sonyi ui ,goblin
pwnbo ,god
ywrn goon bo ,god
pwnbo ann abb hvb nyinam ,god parent
pwnbo ko hvb sonam ,god child
nyem ywrn goon bo ,goddess
dormo nyi ,god fearing
pwnbo doomanam ,godless
pwnbo hvb nyil swwnam ,godly
vnyiq vrs gvnam ,goggle
wdunam ,going
hun ,gold
hun lvqcnam ,gold medal
hun yip pwnbo ,gold smith
aljaqnam ,golden
hun ,golden
nyij mujwg pvvb ,golden rule
bool pwcw koonboam soonam ,golf
bool pwcw koonboam jwwn nan ,golf club
wknum ,gone
jwwdin nan uppum ,gong
yonam hoqgv vc nyioqnam ,gonorrhea
albo ,good
aldo ,good
alub wnuk hvnam ,good bye
niqtuq dooma bo ,good for nothing
hemp hvnyirnam ,good humored
albo ar ,good morning
swrso ar ,good morning
tugu ar ,good morning
albo ai ,good night
swrso ai ,good night
tugu ai ,good nigt
alub mwwnam ,good will
haareqbo hang ,good hearted
aljaqnam ,goodness
dupum dvrab puqs ,goods
xaalyo bo ,goodwink
hog dvngam bo ,goody
pojap jablin ,goose
nwqlwqnam ,gore
bwdw dwwraq ,gorge
kaangamnam ,gorgeous
nyiima sorxaq ,gorilla
vcjaqb ui ala lengnam ,gory
loml agam goonam ,gosh
tugu pui ,gospel
jabnam ,gossip
xwwko xwwpvqnam ,gossip
piikonam ,gouge
yooxaq ,gourd
dwtwq twwtwqbo ,gourmet
swwl doognam ,govern
sorkar ,government
nyiit rad ,governor
lvborbo vj ,gown
pureqnam ,grab
lwwya anyia ,grace
anyia mwwpanv ,graceful
anyia mwwpanam ,gracious
kosum paanam ,grade
ywwjonam ,gradient
nyinyiaq nyinyiaqb ,gradual
kalejho poory riiyumnam ,graduate
kalejho poory riiyum kunum ,graduated
poory riiyumnam aal ,graduation
ciqc ho xeqnam ,graffiti
svvn guubaql swwmnam ,graft
twngk naareqnam ,graft
am ,grain
dvs aky ,grain offering
gvram ,gram
agam gooj ,grammar
agam gooj looda ,grammatical
noosu ,granary
xumt dvb nyinam ,grand
ko hoqg ko siqda ,grandchild
nyekam abb ,grandfather
surnam ,grandiose
xoox ann ,grandmother
nyekam xoox ann abb ,grandparent
rvpa ra hoq dook ,grandstand
gvrnet ,granite
loonam ,grant
mvxaq maanam ,granular
anyo ko am ,granule
roo ,grape
roo aaxy ,grape fruit
roo ann ,grape vine
roo mvmiya ,grave vine
grap ,graph
grapik ,graphic
meer ,graphite
vs axaqb nyinam ,grapple
pureqnam ,grasp
nwmw ,grass
ww ,grass
ako ,grass roots
danyi bo nyi tulu ,grass roots
takam ,grasshopper
hang taneq dvb benam ,grate
paqyalinco mwwnam ,grateful
hemp dvb jinam ,gratify
swrsonam ,gratis
paqyalinco mwwnam ,gratitude
bepa comab nyinam ,gratuitous
viyag paanam ,gratuity
hvyiq cicw dvb nyinam ,grave
nyubu butaq ,grave
xuqxy wlw ,gravel
nyubu hoq wlw ,gravestone
nyubu butaq ,graveyard
vcjaqb kaabynam ,gravitate
seeka minsnam ,gravitation
hvvtw poot ,gravity
alab xwwnam oo ,gravy
dumpu ,gray
nwmw hoonam ,graze
ox jiqnam ,grease
koi bo ,great
nyiilo,great leader
koi loodanam ,greatly
xilo-malo ,greatest
rvvswnam ,greed
jeenyeq ,green
opu sok nam ,green house
nwmw nwsin solaqnam ,green thumb
svga gvrwqnam ,greet
salam ,greetings
xumrwqnam ,greetings
alaq bvnam bom ,grenade
yoqdwr xoa ,grid
hog mwlwngam mutumnam ,grid lock
cwwkaq ,griddle
yoqdwr pwcw ,gridiron
hvvdwqnam ,grief
vcjaqb mwwdwqnam ,grief
konam ,grievance
nyit bvk hvnam ,grievance
mwwdwq ,grieve
wwdwq mvnam ,grievous
toxnam ,grill
dvs mvnnan ,grill
yoqdwr xoa ,grille
sixo torxonam ,grim
vcnam mam kaacinam ,grimace
dopy ho kac yoqpnam ,grime
vcjaqb nyirnam ,grin
xumwqnam ,grind
rub rub gvbwnam ,grip
sornam ,gripe
at hurcwngam nyinam ,gripping
bos lomtwrnam ,grisly
ator axornam ,grit
dum dumpunam ,grizzled
siginam ,groan
dvs puqnbo ,grocer
dvs puqkumko noosu ,grocery
yuma gab ator doomanam ,groggy
mvxaqnam ,groom
dvrwq dvb mvnam ,groom
silam habnam ,groove
alaq hupanam ,grope
koi jaqb nyimurnam ,gross
luusaq tvl kaacnam ,grotesque
sorlayil hemp manbo nyi ,grouch
deela ,ground
nyook hat ,ground
jak ,group
pvtw ,group
acam ,group
haqnam ,grouse
sornam ,grouse
anyo bo svvn ,grove
swwnam ,grow
iky har har hvnam ,growl
akamnam ,grown up
koi dvb swwknam ,growth
ung dulinam ,grub
kac ,grubby
mwwc mwwyanam ,grudge
nyvlin jaqnam ,grueling
bos jaq dvb nyinam ,gruesome
ajin maanam ,gruff
almanam ,gruff
sup punam ,grumble
sormnam ,grumble
almanam ,grumpy
irriq sogoqnam ,grunt
dingrnam ,guarantee
nvvyw deenbo ,guarantor
ceeturnam ,guard
raonam ,guard
rvky ,guard
pvvya bo ,guardian
wrw nyi ,guerrilla
mwwsam kvkanam ,guess
nyiin ,guest
nyignam ,guidance
kaakin ,guide
tomswr bo kitap ,guide book
nyidy sanam mam tomswrnam ,guideline
gwywnam ,guile
dumpo pvriqnam ,guillotine
mwwmur ,guilt
nyimur ,guilt
mwwmurnam ,guilty
mwwxiaqnam ,guilty
nyixiaqnam aky ,guilt offering
rwwxw ,guitar
gitar ,guiter
koro joqxo ,gulch
swnyiq sa pagoq joqxo ,gulf
guug rur ,gullet
guui ,gullet
hog mwlwngam mwwjwnam ,gullible
pagoq goqcw ko ,gully
miqlwqnam ,gulp
meqnam ,gulp
abaq-aiyaq ,gum
tintumnan ,gum
mubuq ,gun
mubuq lvgab nyic nyinbo nyi ,gun man
mubuq niqtuqho ,gun point
gully pwn nan mub ,gun power
mubuq abnam ,gun shot
mubuq abnam ,gunfire
totu yoiyunam ,gurgle
vcjaqb toolinam ,gush
vcjaqb buqpur lengnam ,gust
soomin nyirminam ,gusto
yvqmwqnam ,gut
haakamnam ,gutsy
lamta bviywrho silam mvxanam ,gutter
nyega ko ,guy
rvvswl twwn dvnbo ,guzzle
soos sam soomin ko ,gymnasium
kukub kuxeq nyinam mam tomswrbo ,gymnast
kukub kuxeq nyinam ,gymnastics
ko gvnboam kaanbo ,gynecology
gaqkwr yvnbo nyi dvpar ,gypsy
pwrkubnam ,gyrate
nyicw ,habit
nyook ho nyi doolanam ,habitable
dook nyook ,habitat
nam ,habitat
nyicwngam nyinam ,habitual
pvrwqnam ,hack
hwrcw maanam ,hackneyed
nyelinam ,hackneyed
kaacbo xoox ,hag
kaadwb nyelinam ,haggard
kor kumnam ,haggle
goqlinam ,hail
nyodo taa ,hailstone
dum ,hair
vm ,"hair, body"
gv vm ,"hair, body"
dum tuqn nan ,hair brush
dum sabnam ,hair cut
dum tuqnam ,hair do
lvqm ,hair on arm
lwm ,hair on leg
dum jabtin nan ,hair pin
